Country Region,ISO3,Last Update,People Hospitalized,People Tested,Active,Confirmed,Deaths,Incident Rate,Lat,Long,Mortality Rate,Recovered,UID
Afghanistan,,2021-03-13 05:25:15,,,4006.0,55959,2454,143.74874079529872,33.93911,67.709953,4.385353562429636,49499.0,
Albania,,2021-03-13 05:25:15,,,34974.0,116123,2018,4035.131002849399,41.1533,20.1683,1.737812491926664,79131.0,
Algeria,,2021-03-13 05:25:15,,,32305.0,115008,3031,262.26970245610806,28.0339,1.6596,2.635468836950473,79672.0,
Andorra,,2021-03-13 05:25:15,,,333.0,11199,112,14494.272956707437,42.5063,1.5218,1.0000892936869363,10754.0,
Angola,,2021-03-13 05:25:15,,,911.0,21265,519,64.70159617757635,-11.2027,17.8739,2.4406301434281685,19835.0,
Antigua and Barbuda,,2021-03-13 05:25:15,,,351.0,945,25,964.9946899763092,17.0608,-61.7964,2.6455026455026456,569.0,
Argentina,,2021-03-13 05:25:15,,,157303.0,2185747,53578,4836.175291333082,-38.4161,-63.6167,2.451244357192301,1974866.0,
Armenia,,2021-03-13 05:25:15,,,8143.0,177104,3243,5976.713280152698,40.0691,45.0382,1.8311274731231368,165718.0,
Australia,,2021-03-13 05:25:15,,,5.0,123,3,28.73160476524177,-35.4735,149.0124,2.4390243902439024,115.0,
Australia,,2021-03-13 05:25:15,,,5180.0,5234,54,64.4740083764474,-33.8688,151.2093,1.0317157050057315,0.0,
Australia,,2021-03-13 05:25:15,,,0.0,105,0,42.75244299674267,-12.4634,130.8456,0.0,105.0,
Australia,,2021-03-13 05:25:15,,,48.0,1379,6,26.95728667774411,-27.4698,153.0251,0.435097897026831,1325.0,
Australia,,2021-03-13 05:25:15,,,7.0,631,4,35.92371192712781,-34.9285,138.6007,0.6339144215530903,620.0,
Australia,,2021-03-13 05:25:15,,,0.0,234,13,43.69747899159664,-42.8821,147.3272,5.555555555555555,221.0,
Australia,,2021-03-13 05:25:15,,,2.0,20483,820,308.9488529238752,-37.8136,144.9631,4.003319826197334,19661.0,
Australia,,2021-03-13 05:25:15,,,9.0,923,9,35.08705238348666,-31.9505,115.8605,0.9750812567713976,905.0,
Austria,,2021-03-13 05:25:15,,,26133.0,480424,10773,5418.8354947592825,47.5162,14.5501,1.809475414001254,453078.0,
Azerbaijan,,2021-03-13 05:25:15,,,5230.0,238959,3268,2356.7893837516367,40.1431,47.5769,1.367598625705665,230461.0,
Bahamas,,2021-03-13 05:25:15,,,960.0,8658,185,2201.664089836439,25.025885,-78.035889,2.1367521367521367,7513.0,
Bahrain,,2021-03-13 05:25:15,,,6175.0,129825,480,7629.660145875929,26.0275,50.55,0.3697284806470248,123170.0,
Bangladesh,,2021-03-13 05:25:15,,,37535.0,555222,8515,337.1328435907736,23.685,90.3563,1.5336207859198665,509172.0,
Barbados,,2021-03-13 05:25:15,,,248.0,3391,37,1180.0077252053966,13.1939,-59.5432,1.091123562370982,3106.0,
Belarus,,2021-03-13 05:25:15,,,7203.0,300146,2078,3176.376376672991,53.7098,27.9534,0.6923297328633399,290865.0,
Belgium,,2021-03-13 05:25:15,,,101250.0,101250,0,5415.22037941307,51.2195,4.4024,0.0,0.0,
Belgium,,2021-03-13 05:25:15,,,99480.0,99480,0,8165.778100643954,50.8503,4.3517,0.0,0.0,
Belgium,,2021-03-13 05:25:15,,,88065.0,88065,0,5773.788645177364,51.0362,3.7373,0.0,0.0,
Belgium,,2021-03-13 05:25:15,,,61950.0,61950,0,5359.724460848056,50.9167,4.5833,0.0,0.0,
Belgium,,2021-03-13 05:25:15,,,120456.0,120456,0,8943.601318642155,50.5257,4.0621,0.0,0.0,
Belgium,,2021-03-13 05:25:15,,,107302.0,107302,0,9668.588934943233,50.4496,5.8492,0.0,0.0,
Belgium,,2021-03-13 05:25:15,,,40204.0,40204,0,4582.3312855465765,50.9739,5.3420000000000005,0.0,0.0,
Belgium,,2021-03-13 05:25:15,,,22644.0,22644,0,7896.71911617007,50.0547,5.4677,0.0,0.0,
Belgium,,2021-03-13 05:25:15,,,42263.0,42263,0,8523.653172848868,50.331,4.8221,0.0,0.0,
Belgium,,2021-03-13 05:25:15,,,0.0,14985,22397,,,,149.4627961294628,0.0,
Belgium,,2021-03-13 05:25:15,,,31005.0,31005,0,7636.342141623914,50.4,4.35,0.0,0.0,
Belgium,,2021-03-13 05:25:15,,,72119.0,72119,0,6005.187581446277,51.0536,3.1458,0.0,0.0,
Belize,,2021-03-13 05:25:15,,,67.0,12370,316,3111.002688489793,17.1899,-88.4976,2.5545675020210186,11987.0,
Benin,,2021-03-13 05:25:15,,,868.0,6501,81,53.62446443586915,9.3077,2.3158,1.2459621596677437,5552.0,
Bhutan,,2021-03-13 05:25:15,,,1.0,868,1,112.4917704753166,27.5142,90.4336,0.1152073732718894,866.0,
Bolivia,,2021-03-13 05:25:15,,,42928.0,258324,11930,2212.998871158463,-16.2902,-63.5887,4.6182313683591145,203466.0,
Bosnia and Herzegovina,,2021-03-13 05:25:15,,,16556.0,142160,5446,4333.069679332727,43.9159,17.6791,3.830894766460327,120158.0,
Botswana,,2021-03-13 05:25:15,,,4792.0,34098,424,1449.976080369957,-22.3285,24.6849,1.243474690597689,28882.0,
Brazil,,2021-03-13 05:25:15,,,8806.0,61709,1106,6997.00091276568,-9.0238,-70.812,1.7922831353611304,51797.0,
Brazil,,2021-03-13 05:25:15,,,3986.0,138933,3170,4162.845029764571,-9.5713,-36.782,2.2788618646934764,131777.0,
Brazil,,2021-03-13 05:25:15,,,16869.0,87479,1177,10343.596249871413,0.902,-52.003,1.3454657689273997,69433.0,
Brazil,,2021-03-13 05:25:15,,,38889.0,330010,11482,7962.414681089621,-3.4168,-65.8561,3.4792885064088965,279639.0,
Brazil,,2021-03-13 05:25:15,,,21051.0,735666,13062,4946.297548373354,-12.5797,-41.7007,1.7755340059211653,701553.0,
Brazil,,2021-03-13 05:25:15,,,117452.0,465531,12175,5064.192399583096,-5.4984,-39.3206,2.626139002651006,332869.0,
Brazil,,2021-03-13 05:25:15,,,17033.0,314521,5082,10430.946768247466,-15.7998,-47.8645,1.6157903605800568,292406.0,
Brazil,,2021-03-13 05:25:15,,,12307.0,342446,6691,8515.620917472286,-19.1834,-40.3089,1.9537539485641984,323220.0,
Brazil,,2021-03-13 05:25:15,,,13467.0,431294,9508,6125.809555915817,-15.827,-49.8362,2.201516057227788,406999.0,
Brazil,,2021-03-13 05:25:15,,,11908.0,227156,5440,3210.603375376545,-4.9609,-45.2744,2.394829984680132,209808.0,
Brazil,,2021-03-13 05:25:15,,,11886.0,271212,6291,7711.942088113358,-12.6819,-56.9211,2.296814528133373,250662.0,
Brazil,,2021-03-13 05:25:15,,,10981.0,193629,3584,6924.4681333407225,-20.7722,-54.7852,1.851582393597672,177886.0,
Brazil,,2021-03-13 05:25:15,,,66471.0,956468,20300,4518.292990846761,-18.5122,-44.555,2.122391967112334,869697.0,
Brazil,,2021-03-13 05:25:15,,,15648.0,382212,9290,4427.873737411897,-1.9981,-54.9306,2.4267307914439624,356032.0,
Brazil,,2021-03-13 05:25:15,,,59631.0,235619,4865,5863.9012654403405,-7.24,-36.782,2.06477406321222,171123.0,
Brazil,,2021-03-13 05:25:15,,,201578.0,751562,13335,6573.070022915076,-25.2521,-52.0215,1.7743047147141553,536649.0,
Brazil,,2021-03-13 05:25:15,,,33013.0,314793,11318,3293.822971494091,-8.8137,-36.9541,3.5953785503489595,270462.0,
Brazil,,2021-03-13 05:25:15,,,981.0,185192,3606,5623.166373734544,-7.7183,-42.7289,1.943398584149648,179501.0,
Brazil,,2021-03-13 05:25:15,,,48864.0,181225,3885,5127.788361816136,-5.4026,-36.9541,2.144874988878014,127103.0,
Brazil,,2021-03-13 05:25:15,,,41535.0,730478,14554,6420.520831108496,-30.0346,-51.2177,1.992394021448969,674389.0,
Brazil,,2021-03-13 05:25:15,,,6349.0,604171,34210,3499.4091784722373,-22.9068,-43.1729,5.662304215197353,563612.0,
Brazil,,2021-03-13 05:25:15,,,16895.0,164045,3313,9230.401327912898,-11.5057,-63.5806,2.0195678015178764,143837.0,
Brazil,,2021-03-13 05:25:15,,,4962.0,85572,1232,14071.88643706016,-2.7376,-62.0751,1.4382581356608244,79054.0,
Brazil,,2021-03-13 05:25:15,,,43599.0,724107,8502,10106.467909448264,-27.2423,-50.2189,1.17413586666059,672006.0,
Brazil,,2021-03-13 05:25:15,,,201309.0,2179786,63531,4747.019042140877,-23.5505,-46.6333,2.9145521624599846,1914946.0,
Brazil,,2021-03-13 05:25:15,,,7639.0,157535,3088,6853.233311407859,-10.5741,-37.3857,1.960199320785857,146808.0,
Brazil,,2021-03-13 05:25:15,,,14142.0,124722,1660,7854.26094784934,-10.1753,-48.2982,1.326728024802286,107756.0,
Brunei,,2021-03-13 05:25:15,,,6.0,192,3,43.8874196254483,4.5353,114.7277,1.5625,183.0,
Bulgaria,,2021-03-13 05:25:15,,,41183.0,275859,11196,3970.082514864837,42.7339,25.4858,4.058595151871065,223480.0,
Burkina Faso,,2021-03-13 05:25:15,,,210.0,12305,144,58.86636536145192,12.2383,-1.5616,1.170255993498578,11951.0,
Burma,,2021-03-13 05:25:15,,,7193.0,142122,3201,261.2066496704619,21.9162,95.956,2.2522902858107825,131728.0,
Burundi,,2021-03-13 05:25:15,,,1644.0,2420,3,20.35190119135152,-3.3731,29.9189,0.1239669421487603,773.0,
Cabo Verde,,2021-03-13 05:25:15,,,487.0,15986,155,2875.241911695936,16.5388,-23.0418,0.969598398598774,15344.0,
Cambodia,,2021-03-13 05:25:15,,,640.0,1264,1,7.560273894846758,11.55,104.9167,0.0791139240506329,623.0,
Cameroon,,2021-03-13 05:25:15,,,4760.0,40622,601,153.02572182242778,3.848,11.5021,1.4794938703165772,35261.0,
Canada,,2021-03-13 05:25:15,,,4546.0,137562,1935,3096.235571574198,53.9333,-116.5765,1.4066384612029486,131081.0,
Canada,,2021-03-13 05:25:15,,,5145.0,86867,1397,1665.7765726618732,53.7267,-127.6476,1.6082056477143218,80325.0,
Canada,,2020-12-21 13:27:30,,,0.0,0,1,,,,,0.0,
Canada,,2020-12-21 13:27:30,,,0.0,13,0,,,,0.0,13.0,
Canada,,2021-03-13 05:25:15,,,872.0,32607,912,2356.3972206263347,53.7609,-98.8139,2.7969454411629404,30823.0,
Canada,,2021-03-13 05:25:15,,,34.0,1465,30,185.62513858532105,46.5653,-66.4619,2.04778156996587,1401.0,
Canada,,2021-03-13 05:25:15,,,61.0,1012,6,194.40863850558924,53.1355,-57.6604,0.5928853754940712,945.0,
Canada,,2021-03-13 05:25:15,,,1.0,42,0,103.28762306610408,64.8255,-124.8457,0.0,46.0,
Canada,,2021-03-13 05:25:15,,,17.0,1665,65,167.93423751707314,44.682,-63.7443,3.9015606242497,1584.0,
Canada,,2021-03-13 05:25:15,,,12.0,381,1,966.9314519199046,70.2998,-83.1076,0.2624671916010498,368.0,
Canada,,2021-03-13 05:25:15,,,11332.0,320188,7127,2161.662173292876,51.2538,-85.3232,2.223754578868871,302035.0,
Canada,,2021-03-13 05:25:15,,,16.0,143,0,87.0263756861695,46.5107,-63.4168,0.0,127.0,
Canada,,2021-03-13 05:25:15,,,6919.0,295934,10526,3439.295391536633,52.9399,-73.5491,3.556874167888786,278489.0,
Canada,,2021-03-13 05:25:15,,,0.0,13,0,,,,0.0,13.0,
Canada,,2021-03-13 05:25:15,,,1437.0,30369,404,2573.98435725401,52.9399,-106.4509,1.3303039283479865,28528.0,
Canada,,2021-03-13 05:25:15,,,0.0,72,1,167.49639417484764,64.2823,-135.0,1.3888888888888888,71.0,
Central African Republic,,2021-03-13 05:25:15,,,40.0,5023,63,104.00094083271978,6.6111,20.9394,1.2542305395182165,4920.0,
Chad,,2021-03-13 05:25:15,,,351.0,4274,152,26.01994818048785,15.4542,18.7322,3.5563874590547497,3771.0,
Chile,,2021-03-13 05:25:15,,,1337.0,39850,806,6559.303676831256,-23.6509,-70.3975,2.02258469259724,37707.0,
Chile,,2021-03-13 05:25:15,,,2372.0,44930,568,4693.781183923512,-38.9489,-72.3311,1.2641887380369463,41990.0,
Chile,,2021-03-13 05:25:15,,,540.0,15912,316,7038.590158713308,-18.594,-69.4785,1.9859225741578683,15056.0,
Chile,,2021-03-13 05:25:15,,,486.0,12812,160,4434.077191428097,-27.5661,-70.0503,1.248829222603809,12166.0,
Chile,,2021-03-13 05:25:15,,,88.0,3228,25,3129.1804804280814,-45.9864,-73.7669,0.7744733581164808,3115.0,
Chile,,2021-03-13 05:25:15,,,4751.0,80697,1375,5183.500823802596,-37.4464,-72.1416,1.7039047300395307,74571.0,
Chile,,2021-03-13 05:25:15,,,1317.0,23223,440,3065.3945558656046,-29.959,-71.3389,1.8946733841450287,21466.0,
Chile,,2021-03-13 05:25:15,,,2242.0,55307,698,6673.882718641548,-41.9198,-72.1416,1.2620463955737973,52367.0,
Chile,,2021-03-13 05:25:15,,,1805.0,22385,254,5816.748389577925,-40.231,-72.3311,1.1346884074156802,20326.0,
Chile,,2021-03-13 05:25:15,,,346.0,22426,328,13466.40005284238,-52.368,-70.9863,1.4625880674217426,21752.0,
Chile,,2021-03-13 05:25:15,,,2192.0,46518,898,4451.696253409254,-35.5183,-71.6885,1.9304355303323444,43428.0,
Chile,,2021-03-13 05:25:15,,,9753.0,380246,12256,5345.933701570463,-33.4376,-70.6505,3.2231765751644987,358237.0,
Chile,,2021-03-13 05:25:15,,,430.0,18355,354,3819.1128339252905,-36.7226,-71.7622,1.9286298011441023,17571.0,
Chile,,2021-03-13 05:25:15,,,1510.0,32862,810,3593.2229335578504,-34.5755,-71.0022,2.464853021727223,30542.0,
Chile,,2021-03-13 05:25:15,,,778.0,25983,469,7860.345234421796,-19.9232,-69.5132,1.8050263633914485,24736.0,
Chile,,2021-03-13 05:25:15,,,0.0,51,1,,,,1.96078431372549,51.0,
Chile,,2021-03-13 05:25:15,,,2777.0,54700,1693,3012.277094248478,-33.0472,-71.6127,3.095063985374772,50230.0,
China,,2021-03-13 05:25:15,,,0.0,994,6,1.6287826941871515,31.8257,117.2264,0.6036217303822937,988.0,
China,,2021-03-13 05:25:15,,,7.0,1049,9,4.791465071521409,40.1824,116.4142,0.8579599618684461,1033.0,
China,,2021-03-13 05:25:15,,,0.0,591,6,1.8437545031207965,30.0572,107.874,1.015228426395939,585.0,
China,,2021-03-13 05:25:15,,,5.0,553,1,1.3312442347856477,26.0789,117.9874,0.1808318264014466,547.0,
China,,2021-03-13 05:25:15,,,0.0,187,2,0.7474071267707604,35.7518,104.2861,1.0695187165775402,185.0,
China,,2021-03-13 05:25:15,,,46.0,2243,8,1.7799820033741094,23.3417,113.4244,0.3566651805617477,2189.0,
China,,2021-03-13 05:25:15,,,0.0,267,2,0.5326491591205376,23.8298,108.7881,0.7490636704119851,265.0,
China,,2021-03-13 05:25:15,,,0.0,147,2,0.3812028313360552,26.8154,106.8748,1.3605442176870748,145.0,
China,,2021-03-13 05:25:15,,,0.0,171,6,1.696221255497344,19.1959,109.7453,3.508771929824561,165.0,
China,,2021-03-13 05:25:15,,,0.0,1317,7,1.7651733706508228,37.8957,114.9042,0.5315110098709187,1310.0,
China,,2021-03-13 05:25:15,,,0.0,1610,13,5.054931088416459,47.862,127.7615,0.8074534161490683,1597.0,
China,,2021-03-13 05:25:15,,,6.0,1309,22,1.3173583886780684,33.882,113.614,1.680672268907563,1281.0,
China,,2021-03-13 05:25:15,,,296.0,11210,203,149.52671659605164,22.3,114.2,1.810883140053524,10711.0,
China,,2021-03-13 05:25:15,,,0.0,68151,4512,118.00516468907168,30.9756,112.2707,6.620592507813532,63639.0,
China,,2021-03-13 05:25:15,,,5.0,1038,4,1.562197493548937,27.6104,111.7088,0.3853564547206166,1029.0,
China,,2021-03-13 05:25:15,,,2.0,368,1,1.5301992939045053,44.0935,113.9448,0.2717391304347826,365.0,
China,,2021-03-13 05:25:15,,,1.0,705,0,0.831877881365388,32.9711,119.455,0.0,704.0,
China,,2021-03-13 05:25:15,,,0.0,935,1,2.0691043223589296,27.614,115.7221,0.106951871657754,934.0,
China,,2021-03-13 05:25:15,,,0.0,573,3,2.38021525204548,43.6661,126.1923,0.5235602094240838,570.0,
China,,2021-03-13 05:25:15,,,0.0,406,2,0.953243925470694,41.2956,122.6085,0.4926108374384236,404.0,
China,,2021-03-13 05:25:15,,,1.0,48,0,7.392098462751524,22.1667,113.55,0.0,47.0,
China,,2021-03-13 05:25:15,,,0.0,75,0,1.041282838242681,37.2692,106.1655,0.0,75.0,
China,,2021-03-13 05:25:15,,,0.0,18,0,0.3038509563793255,35.7452,95.9956,0.0,18.0,
China,,2021-03-13 05:25:15,,,10.0,559,3,1.4141516712831508,35.1917,108.8701,0.5366726296958855,546.0,
China,,2021-03-13 05:25:15,,,0.0,869,7,0.8559261306397591,36.3427,118.1498,0.8055235903337169,862.0,
China,,2021-03-13 05:25:15,,,41.0,1830,7,7.357998174171054,31.202,121.4491,0.3825136612021858,1782.0,
China,,2021-03-13 05:25:15,,,2.0,241,0,0.690235566801972,37.5777,112.2922,0.0,239.0,
China,,2021-03-13 05:25:15,,,41.0,929,3,1.1102497612604485,30.6171,102.7103,0.3229278794402583,885.0,
China,,2021-03-13 05:25:15,,,15.0,362,3,2.610700743090532,39.3054,117.323,0.8287292817679558,344.0,
China,,2021-03-13 05:25:15,,,0.0,1,0,0.027411529289219,31.6927,88.0924,0.0,1.0,
China,,2021-03-13 05:25:15,,,0.0,8172,0,,,,,7.0,
China,,2021-03-13 05:25:15,,,0.0,980,3,3.7907586333077328,41.1129,85.2401,0.3061224489795918,977.0,
China,,2021-03-13 05:25:15,,,3.0,234,2,0.4956652905317741,24.974,101.487,0.8547008547008547,229.0,
China,,2021-03-13 05:25:15,,,7.0,1322,1,2.04746691172667,29.1832,120.0934,0.075642965204236,1314.0,
Colombia,,2021-03-13 05:25:15,,,106.0,5581,200,7286.947211740589,-1.4429,-71.5724,3.5835871707579288,5275.0,
Colombia,,2021-03-13 05:25:15,,,4980.0,351041,6674,5478.935718519855,7.1986,-75.3412,1.90120242364852,339387.0,
Colombia,,2021-03-13 05:25:15,,,98.0,5638,172,2150.4802154294475,7.0762,-70.7105,3.0507272082298686,5368.0,
Colombia,,2021-03-13 05:25:15,,,2564.0,127723,4085,5037.355300713819,10.6966,-74.8741,3.1983276308887203,121074.0,
Colombia,,2021-03-13 05:25:15,,,558.0,67822,1370,3276.251020477173,8.6704,-74.03,2.019993512429595,65894.0,
Colombia,,2021-03-13 05:25:15,,,858.0,46996,1116,3860.4342454590856,5.4545,-73.362,2.37467018469657,45022.0,
Colombia,,2021-03-13 05:25:15,,,929.0,47153,990,4723.54258180525,5.2983,-75.2479,2.0995482790066378,45234.0,
Colombia,,2021-03-13 05:25:15,,,10920.0,667282,14050,9002.037890792473,4.711,-74.0721,2.1055565712847044,642312.0,
Colombia,,2021-03-13 05:25:15,,,232.0,17109,638,4261.386986941112,0.8699,-73.8419,3.7290315038868433,16239.0,
Colombia,,2021-03-13 05:25:15,,,278.0,12589,282,2993.7884062934004,5.7589,-71.5724,2.240050838033204,12029.0,
Colombia,,2021-03-13 05:25:15,,,503.0,27621,755,1886.0516439875232,2.705,-76.82600000000002,2.7334274646102603,26363.0,
Colombia,,2021-03-13 05:25:15,,,576.0,41114,1202,3424.528600486101,9.3373,-73.6536,2.923578343143455,39336.0,
Colombia,,2021-03-13 05:25:15,,,88.0,6607,202,1235.3550500536624,5.2528,-76.82600000000002,3.0573634024519447,6317.0,
Colombia,,2021-03-13 05:25:15,,,1168.0,39429,1879,2209.1761295350752,8.0493,-75.574,4.765527910928505,36382.0,
Colombia,,2021-03-13 05:25:15,,,1680.0,107820,2947,3693.654806684344,5.026,-74.03,2.733259135596364,103193.0,
Colombia,,2021-03-13 05:25:15,,,18.0,1328,22,2760.1114020867108,2.5854,-68.5247,1.6566265060240963,1288.0,
Colombia,,2021-03-13 05:25:15,,,19.0,2263,40,2734.181497456716,1.0654,-73.2603,1.7675651789659743,2204.0,
Colombia,,2021-03-13 05:25:15,,,294.0,50194,1754,4561.490240697355,2.5359,-75.5277,3.494441566721122,48146.0,
Colombia,,2021-03-13 05:25:15,,,250.0,16501,640,1873.9211410920325,11.3548,-72.5205,3.8785528149809103,15611.0,
Colombia,,2021-03-13 05:25:15,,,1309.0,37075,1378,2763.190648602641,10.4113,-74.4057,3.7167902899527983,34388.0,
Colombia,,2021-03-13 05:25:15,,,477.0,42907,983,4126.776195944685,3.272,-73.0877,2.291001468291887,41447.0,
Colombia,,2021-03-13 05:25:15,,,871.0,49431,1632,3031.4756849046234,1.2892,-77.3579,3.3015718880864235,46928.0,
Colombia,,2021-03-13 05:25:15,,,663.0,51251,2737,3435.769788474676,7.9463,-72.8988,5.340383602271175,47851.0,
Colombia,,2021-03-13 05:25:15,,,139.0,7979,316,2291.6176022884583,0.436,-75.5277,3.96039603960396,7524.0,
Colombia,,2021-03-13 05:25:15,,,472.0,32937,983,6100.528982930298,4.461,-75.6674,2.984485532987218,31482.0,
Colombia,,2021-03-13 05:25:15,,,780.0,46780,1165,4958.65490920616,5.3158,-75.9928,2.490380504489098,44835.0,
Colombia,,2021-03-13 05:25:15,,,12.0,2718,45,4435.378590078329,12.5567,-81.7185,1.6556291390728477,2661.0,
Colombia,,2021-03-13 05:25:15,,,1853.0,92560,3410,4236.47164525317,6.6437,-73.6536,3.6840968020743294,87297.0,
Colombia,,2021-03-13 05:25:15,,,463.0,21242,800,2347.5376935514,8.814,-74.7233,3.766123717164109,19979.0,
Colombia,,2021-03-13 05:25:15,,,843.0,65799,2120,4946.597734002813,4.0925,-75.1545,3.221933464034408,62836.0,
Colombia,,2021-03-13 05:25:15,,,0.0,0,0,,,,,0.0,
Colombia,,2021-03-13 05:25:15,,,4085.0,199587,6328,4459.16182851842,3.8009,-76.6413,3.1705471799265483,189174.0,
Colombia,,2021-03-13 05:25:15,,,5.0,1153,13,2826.1882001127533,0.8554,-70.812,1.1274934952298352,1135.0,
Colombia,,2021-03-13 05:25:15,,,7.0,1387,22,1286.5464529533986,4.4234,-69.2878,1.5861571737563085,1358.0,
Comoros,,2021-03-13 05:25:15,,,36.0,3618,146,416.0557500905594,-11.6455,43.3333,4.035378662244334,3436.0,
Congo (Brazzaville),,2021-03-13 05:25:15,,,1684.0,9329,131,169.06205985692156,-0.228,15.8277,1.4042233894308072,7514.0,
Congo (Kinshasa),,2021-03-13 05:25:15,,,3702.0,26846,712,29.97496555547521,-4.0383,21.7587,2.652164195783357,22432.0,
Costa Rica,,2021-03-13 05:25:15,,,17264.0,209093,2862,4104.599936318661,9.7489,-83.7534,1.3687689210064422,188967.0,
Cote d'Ivoire,,2021-03-13 05:25:15,,,3346.0,36824,211,139.59972742721047,7.54,-5.5471,0.5729958722572236,33267.0,
Croatia,,2021-03-13 05:25:15,,,4522.0,249661,5647,6081.47872440971,45.1,15.2,2.2618670917764487,239492.0,
Cuba,,2021-03-13 05:25:15,,,4702.0,59919,365,529.010606521842,21.521757,-77.78116700000002,0.6091556935195848,54852.0,
Cyprus,,2021-03-13 05:25:15,,,36877.0,39171,237,3244.348624810641,35.1264,33.4299,0.6050394424446657,2057.0,
Czechia,,2021-03-13 05:25:15,,,162351.0,1376998,22865,12858.34638623914,49.8175,15.473,1.660496238919737,1191782.0,
Denmark,,2021-03-13 05:25:15,,,2.0,660,1,1350.6599815819093,61.8926,-6.9118,0.1515151515151515,657.0,
Denmark,,2021-03-13 05:25:15,,,0.0,31,0,54.604382442048895,71.7069,-42.6043,0.0,31.0,
